location,location_bin
Alam Impian,5
Ampang,3
Ampang Hilir,6
Ara Damansara,6
Balakong,2
Bandar Botanic,2
Bandar Bukit Raja,3
Bandar Bukit Tinggi,6
Bandar Damai Perdana,4
Bandar Kinrara,3
Bandar Mahkota Cheras,4
Bandar Menjalara,4
Bandar Saujana Putra,3
Bandar Sri Damansara,1
Bandar Sungai Long,1
Bandar Sunway,4
Bandar Tasik Selatan,1
Bandar Utama,4
Bangi,2
Bangsar,6
Bangsar South,5
Banting,1
Batu Caves,2
Brickfields,6
Bukit Beruntung,1
Bukit Bintang,6
Bukit Jalil,3
Bukit Jelutong,5
Bukit Subang,1
Cheras,3
City Centre,6
Cyberjaya,3
Damansara,6
Damansara Damai,2
Damansara Heights,4
Damansara Perdana,3
Dengkil,2
Desa Pandan,5
Desa ParkCity,6
Desa Petaling,2
Glenmarie,5
Gombak,4
Hulu Langat,1
I-City,4
Jalan Ipoh,5
Jalan Kuching,5
Jalan Sultan Ismail,6
Jenjarom,2
Jinjang,1
KL City,6
KLCC,6
Kajang,2
Kapar,1
Kelana Jaya,5
Kepong,3
Keramat,5
Klang,3
Kota Damansara,5
Kota Kemuning,6
Kuala Langat,3
Kuala Selangor,1
Kuchai Lama,4
Mid Valley City,6
Mont Kiara,6
Mutiara Damansara,2
OUG,3
Old Klang Road,5
Others,3
Pandan Indah,2
Pandan Jaya,2
Pandan Perdana,4
Pantai,4
Petaling Jaya,3
Port Klang,4
Puchong,2
Puchong South,2
Pudu,5
Pulau Indah (Pulau Lumut),2
Puncak Alam,1
Puncak Jalil,1
Putra Heights,2
Rawang,1
Salak Selatan,1
Salak Tinggi,1
Saujana Utama,2
Segambut,5
Selayang,3
Semenyih,1
Sentul,4
Sepang,2
Seputeh,5
Serdang,1
Serendah,1
Seri Kembangan,2
Setapak,4
Setia Alam,4
Setiawangsa,5
Shah Alam,3
Solaris Dutamas,5
Sri Damansara,6
Sri Hartamas,5
Sri Petaling,4
Subang Bestari,2
Subang Jaya,3
Sungai Besi,4
Sungai Buloh,3
Sungai Penchala,1
Taman Desa,4
Taman Melawati,6
Taman Tun Dr Ismail,6
Telok Panglima Garang,5
Titiwangsa,6
USJ,3
Ulu Klang,6
Wangsa Maju,4
Others,3